year,duration,NAR,Treat,beta,gamma,NP,NR
2018,1,0,1,0.465286,35,0,0
2018,1,0,2,0.4307963,35,0,0
2018,1,2,1,0.3574102,41,0,2
2018,1,2,2,0.4957668,36,0,2
2018,1,2,3,0.4092136,35,2,0
2018,1,3,1,0.3246816,39,0,3
2018,1,3,2,0.4678124,43,0,3
2018,1,3,3,0.3624324,30,2,1
2018,1,4,1,0.3554874,37,0,4
2018,1,4,2,0.3546351,34,2,2
2018,1,4,3,0.4539542,38,1,3
2018,1,5,1,0.3461836,37,1,4
2018,1,5,2,0.3771006,36,1,4
2018,1,5,3,0.3425738,34,2,3
2018,1,6,1,0.2764948,33,1,5
2018,1,6,2,0.326171,34,2,4
2018,1,6,3,0.347882,34,2,4
2018,1,7,1,0.3706993,32,1,6
2018,1,7,2,0.4244918,34,2,5
2018,1,7,3,0.3219846,28,2,5
2018,1,8,3,0.3517933,29,2,6
2019,2,0,1,0.3314068,26,0,0
2019,2,0,2,0.3755059,32,0,0
2019,2,2,1,0.3624168,36,0,2
2019,2,2,2,0.3422748,31,0,2
2019,2,2,3,0.2230216,27,2,0
2019,2,3,1,0.335849,31,0,3
2019,2,3,2,0.4074454,29,0,3
2019,2,3,3,0.2429606,22,2,1
2019,2,4,1,0.3009041,32,0,4
2019,2,4,2,0.2973093,27,2,2
2019,2,4,3,0.2615443,30,1,3
2019,2,5,1,0.1836623,33,1,4
2019,2,5,2,0.2621272,32,1,4
2019,2,5,3,0.1414154,28,2,3
2019,2,6,1,0.3501989,23,1,5
2019,2,6,2,0.3216812,25,2,4
2019,2,6,3,0.2045379,20,2,4
2019,2,7,1,0.2960726,31,1,6
2019,2,7,2,0.1553819,23,2,5
2019,2,7,3,0.1133403,23,2,5
2019,2,8,3,0.181618,26,2,6
2020,3,0,1,0.2580695,33,0,0
2020,3,0,2,0.4475146,36,0,0
2020,3,2,1,0.3642129,42,0,2
2020,3,2,2,0.2966146,38,0,2
2020,3,2,3,0.3307042,29,2,0
2020,3,3,1,0.3488697,32,0,3
2020,3,3,2,0.2814538,41,0,3
2020,3,3,3,0.3248435,29,2,1
2020,3,4,1,0.3129501,37,0,4
2020,3,4,2,0.1909716,27,2,2
2020,3,4,3,0.1591422,30,1,3
2020,3,5,1,0.3705701,32,1,4
2020,3,5,2,0.2675955,28,1,4
2020,3,5,3,0.2538364,24,2,3
2020,3,6,1,0.3006646,25,1,5
2020,3,6,2,0.3736301,22,2,4
2020,3,6,3,0.3808058,25,2,4
2020,3,7,1,0.3786252,28,1,6
2020,3,7,2,0.4341098,27,2,5
2020,3,7,3,0.3233501,26,2,5
2020,3,8,3,0.3975384,22,2,6
